COLLEGES,CITY,WEBSITE,COURSE
"Rajendra College, Chapra","Chapra, Bihar",N/A,BA
"Jai Prakash University, Chapra","Chapra, Bihar",N/A,BA
"H.D. Jain College, Arrah",26 kms from Chapra,N/A,BA
"Veer Kunwar Singh University - [VKSU], Arrah",26 kms from Chapra,N/A,BA
"Magadh Mahila College, Patna",44 kms from Chapra,N/A,BA
"Anugrah Narayan College - [ANC], Patna",44 kms from Chapra,N/A,BA
"Patna Women's College - [PWC], Patna",44 kms from Chapra,N/A,BA
"Ram Krishna Dwarika College - [RKD], Patna",44 kms from Chapra,N/A,BA
"Ram Lakhan Singh Yadav College - [RLSY], Patna",44 kms from Chapra,N/A,BA
"College of Commerce, Arts & Science, Patna",44 kms from Chapra,N/A,BA
"Patna University - [PU], Patna",44 kms from Chapra,N/A,BA
"Patna College, Patna",44 kms from Chapra,N/A,BA
"Bihar National College, Patna",44 kms from Chapra,N/A,BA
"MGM Group of Institutions, Patna",44 kms from Chapra,N/A,BA
"R.P. Sharma Institute of Technology, Patna",44 kms from Chapra,N/A,BA
"Maltidhari College, Patna",44 kms from Chapra,N/A,BA
"Amity University, Patna",44 kms from Chapra,N/A,BA
"Patliputra University, Patna",44 kms from Chapra,N/A,BA
"Anugrah Narayan Singh College - [ANS] Barh, Patna",44 kms from Chapra,N/A,BA
"Bhuwaneshwari Dayal College - [BDC] Mithapur, Patna",44 kms from Chapra,N/A,BA
"Bindeshwar Singh College, Patna",44 kms from Chapra,N/A,BA
"Jagat Narain Lal College - [JNL], Patna",44 kms from Chapra,N/A,BA
"Sri Arvind Mahila College, Patna",44 kms from Chapra,N/A,BA
"Sri Guru Gobind Singh College, Patna",44 kms from Chapra,N/A,BA
"Patna Science College, Patna",44 kms from Chapra,N/A,BA
"Thakur Prasad Singh College - [TPS], Patna",44 kms from Chapra,N/A,BA
"Indian Institute of Business Management - [IIBM], Patna",44 kms from Chapra,N/A,BA
"JD Women's College, Patna",44 kms from Chapra,N/A,BA
"Maulana Mazharul Haque Arabic and Persian University - [MMHAPU], Patna",44 kms from Chapra,N/A,BA
"Ganga Devi Mahila Mahavidyalaya - [GDMM] Kankarbagh, Patna",44 kms from Chapra,N/A,BA
"G.J. College, Patna",44 kms from Chapra,N/A,BA
"Mahila College Khagaul, Patna",44 kms from Chapra,N/A,BA
"Directorate of Distance Education, Patna University, Patna",44 kms from Chapra,N/A,BA
"Oriental College, Patna",44 kms from Chapra,N/A,BA
"National Business College, Patna",44 kms from Chapra,N/A,BA
"Asian Institute of Management & Information Technology - [AIMIT], Patna",44 kms from Chapra,N/A,BA
"Eimage College, Patna",44 kms from Chapra,N/A,BA
"Nalanda Business School - [NBC], Patna",44 kms from Chapra,N/A,BA
"Exalt Group of Institutions, Patna",44 kms from Chapra,N/A,BA
"Sir Ganesh Dutt Memorial College - [SGDMC], Patna",44 kms from Chapra,N/A,BA
"Oxford Business College, Patna",44 kms from Chapra,N/A,BA
"Gyan Sarover Vidhyapeeth, Patna",44 kms from Chapra,N/A,BA
"Muneshwar Singh Muneshwari Samta College, Hajipur",47 kms from Chapra,N/A,BA
"Raj Narain college, Hajipur",47 kms from Chapra,N/A,BA
"Dr Ram Manohar Lohiya Mahavidyalaya, Ballia",61 kms from Chapra,N/A,BA
"Md. Shahban Memorial P.G. College, Ballia",61 kms from Chapra,N/A,BA
"Prithvi Shiv Kisan Majdoor Balika PG College, Ballia",61 kms from Chapra,N/A,BA
"Shivraj Smarak Mahavidyalaya, Ballia",61 kms from Chapra,N/A,BA
"Shri Ram Karan PG College - [SRKPGC], Ballia",61 kms from Chapra,N/A,BA
"Udit Narayan Rishabh Mahavidyalaya, Ballia",61 kms from Chapra,N/A,BA
"Kisan P.G. College, Ballia",61 kms from Chapra,N/A,BA
"Jananayak Chandrashekhar University - [JNCU], Ballia",61 kms from Chapra,N/A,BA
"Dr. C.V. Raman University - [CVRU], Vaishali",61 kms from Chapra,N/A,BA
"B.M.D. College, Vaishali",61 kms from Chapra,N/A,BA
"Vaishali Mahila College, Vaishali",61 kms from Chapra,N/A,BA
"Hariram College, Siwan",62 kms from Chapra,N/A,BA
"Ram Vilas Ganga Ram College - [RVGRC], Siwan",62 kms from Chapra,N/A,BA
"Vidya Bhawan Mahila Mahavidyalaya, Siwan",62 kms from Chapra,N/A,BA
"BR Ambedkar Bihar University - [BRABU], Muzaffarpur",74 kms from Chapra,N/A,BA
"Langat Singh College - [LS], Muzaffarpur",74 kms from Chapra,N/A,BA
"RBBM College, Muzaffarpur",74 kms from Chapra,N/A,BA
"Sri Raghav Prasad Singh College, Muzaffarpur",74 kms from Chapra,N/A,BA
"Ram Dayalu Singh College, Muzaffarpur",74 kms from Chapra,N/A,BA
"Mahant Darshan Das Mahila College - [MDDM], Muzaffarpur",74 kms from Chapra,N/A,BA
"Lalit Narayan Tirhut Mahavidyalaya - [LNT], Muzaffarpur",74 kms from Chapra,N/A,BA
"Directorate of Distance Education, B.R.A. Bihar University - [DDEBRABU], Muzaffarpur",74 kms from Chapra,N/A,BA
